batch_size,from_r,to_r,from_content_tokens,to_content_tokens,previous_p95_ms,current_p95_ms,relative_latency_drop_pct
16,32,48,164,148,13.981147193908692,13.253681993484497,5.203186765254408
16,48,64,148,132,13.253681993484497,12.251289892196654,7.563121718029888
16,64,80,132,116,12.251289892196654,11.584795236587524,5.4401998603726405
24,48,64,148,132,17.115306186676026,15.807884693145752,7.638902157345449
24,64,80,132,116,15.807884693145752,14.36914849281311,9.101383444152228
24,80,96,116,100,14.36914849281311,13.624721336364749,5.180732573128431
24,96,112,100,84,13.624721336364749,12.487099027633668,8.349692303025204
24,112,128,84,68,12.487099027633668,11.847814464569092,5.1195602889818845
32,16,32,180,164,23.9243763923645,22.50265254974365,5.942574298716496
32,48,64,148,132,21.54664983749389,20.02386608123779,7.067380626413039
32,64,80,132,116,20.02386608123779,18.04226922988892,9.896175110787485
32,80,96,116,100,18.04226922988892,16.58737802505493,8.06379278734965
32,96,112,100,84,16.58737802505493,15.71187663078308,5.278118054278521
32,112,128,84,68,15.71187663078308,14.13104305267334,10.061392507452187
32,128,144,68,52,14.13104305267334,13.243107223510744,6.283583072055064
48,16,32,180,164,34.034135246276854,31.77736511230469,6.630901939014428
48,48,64,148,132,30.5790545463562,28.445530700683594,6.977075901540052
48,64,80,132,116,28.445530700683594,24.95746870040893,12.262249690391043
48,96,112,100,84,23.80831022262573,21.98321294784546,7.665799284847312
48,112,128,84,68,21.98321294784546,19.960795211792,9.199827799746958
48,128,144,68,52,19.960795211792,18.34886703491211,8.075470740402315
64,16,32,180,164,44.32157402038574,41.62799892425537,6.077345301165195
64,32,48,164,148,41.62799892425537,39.27067394256592,5.662835213335008
64,48,64,148,132,39.27067394256592,36.88094692230224,6.085271222385175
64,64,80,132,116,36.88094692230224,32.13020133972168,12.88130045193537
64,80,96,116,100,32.13020133972168,30.03129453659057,6.5325043591815
64,96,112,100,84,30.03129453659057,27.892839336395262,7.12075597537023
64,112,128,84,68,27.892839336395262,25.49506969451904,8.596362718611994
64,128,144,68,52,25.49506969451904,22.66747541427612,11.09074936496761
