model,batch_size,r,accuracy_pct,correct,num_samples
deit_base_patch16_224,1,0,71.2,7120,10000
deit_base_patch16_224,1,48,70.31,7031,10000
deit_base_patch16_224,1,64,69.97,6997,10000
deit_base_patch16_224,1,80,69.17,6917,10000
deit_base_patch16_224,1,96,68.18,6818,10000
deit_base_patch16_224,1,112,66.32,6632,10000
deit_base_patch16_224,1,128,63.53,6353,10000
deit_base_patch16_224,1,144,58.6,5860,10000
deit_base_patch16_224,2,0,71.19,7119,10000
deit_base_patch16_224,2,48,70.3,7030,10000
deit_base_patch16_224,2,64,69.99,6999,10000
deit_base_patch16_224,2,80,69.19,6919,10000
deit_base_patch16_224,2,96,68.21,6821,10000
deit_base_patch16_224,2,112,66.38,6638,10000
deit_base_patch16_224,2,128,63.49,6349,10000
deit_base_patch16_224,2,144,58.61,5861,10000
deit_base_patch16_224,4,0,71.19,7119,10000
deit_base_patch16_224,4,48,70.3,7030,10000
deit_base_patch16_224,4,64,69.96,6996,10000
deit_base_patch16_224,4,80,69.22,6922,10000
deit_base_patch16_224,4,96,68.26,6826,10000
deit_base_patch16_224,4,112,66.45,6645,10000
deit_base_patch16_224,4,128,63.43,6343,10000
deit_base_patch16_224,4,144,58.59,5859,10000
deit_base_patch16_224,8,0,71.19,7119,10000
deit_base_patch16_224,8,48,70.3,7030,10000
deit_base_patch16_224,8,64,69.9,6990,10000
deit_base_patch16_224,8,80,69.22,6922,10000
deit_base_patch16_224,8,96,68.27,6827,10000
deit_base_patch16_224,8,112,66.47,6647,10000
deit_base_patch16_224,8,128,63.54,6354,10000
deit_base_patch16_224,8,144,58.64,5864,10000
deit_base_patch16_224,16,0,71.19,7119,10000
deit_base_patch16_224,16,48,70.31,7031,10000
deit_base_patch16_224,16,64,69.88,6988,10000
deit_base_patch16_224,16,80,69.19,6919,10000
deit_base_patch16_224,16,96,68.25,6825,10000
deit_base_patch16_224,16,112,66.42,6642,10000
deit_base_patch16_224,16,128,63.59,6359,10000
deit_base_patch16_224,16,144,58.58,5858,10000
deit_base_patch16_224,24,0,71.19,7119,10000
deit_base_patch16_224,24,48,70.3,7030,10000
deit_base_patch16_224,24,64,69.9,6990,10000
deit_base_patch16_224,24,80,69.23,6923,10000
deit_base_patch16_224,24,96,68.17,6817,10000
deit_base_patch16_224,24,112,66.42,6642,10000
deit_base_patch16_224,24,128,63.65,6365,10000
deit_base_patch16_224,24,144,58.63,5863,10000
deit_base_patch16_224,32,0,71.19,7119,10000
deit_base_patch16_224,32,48,70.31,7031,10000
deit_base_patch16_224,32,64,69.92,6992,10000
deit_base_patch16_224,32,80,69.21,6921,10000
deit_base_patch16_224,32,96,68.2,6820,10000
deit_base_patch16_224,32,112,66.44,6644,10000
deit_base_patch16_224,32,128,63.68,6368,10000
deit_base_patch16_224,32,144,58.67,5867,10000
deit_base_patch16_224,48,0,71.19,7119,10000
deit_base_patch16_224,48,48,70.31,7031,10000
deit_base_patch16_224,48,64,69.91,6991,10000
deit_base_patch16_224,48,80,69.23,6923,10000
deit_base_patch16_224,48,96,68.19,6819,10000
deit_base_patch16_224,48,112,66.43,6643,10000
deit_base_patch16_224,48,128,63.65,6365,10000
deit_base_patch16_224,48,144,58.67,5867,10000
deit_base_patch16_224,64,0,71.19,7119,10000
deit_base_patch16_224,64,48,70.32,7032,10000
deit_base_patch16_224,64,64,69.94,6994,10000
deit_base_patch16_224,64,80,69.23,6923,10000
deit_base_patch16_224,64,96,68.18,6818,10000
deit_base_patch16_224,64,112,66.45,6645,10000
deit_base_patch16_224,64,128,63.69,6369,10000
deit_base_patch16_224,64,144,58.64,5864,10000
