model,batch_size,r,sequence_tokens,content_tokens,latency_mean_ms,latency_median_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_std_ms,throughput_median_qps,throughput_p95_qps,accuracy_pct,correct,num_samples,dense_accuracy_pct,accuracy_drop_pp,speedup_vs_dense_p95,pareto
deit_base_patch16_224,1,0,197,196,5.644692489306132,5.644991874694824,5.689091062545776,5.6991023302078245,5.7209694194793705,0.0372299051198859,177.14817349565473,175.4662299533642,71.2,7120,10000,71.2,0.0,1.0,True
deit_base_patch16_224,1,48,149,148,9.82687434832255,9.836703777313232,9.882806301116943,9.89785795211792,9.92497805595398,0.0526211921845277,101.66007055191989,101.031961141251,70.31,7031,10000,71.2,0.8900000000000006,0.57579148516557,False
deit_base_patch16_224,1,64,133,132,9.818514442443847,9.824975967407228,9.87732458114624,9.890422821044922,9.946845350265503,0.0540818748510013,101.7814194474713,101.10791197644168,69.97,6997,10000,71.2,1.230000000000004,0.5762243367473864,False
deit_base_patch16_224,1,80,117,116,9.78872128168742,9.796800136566162,9.845433807373048,9.85393557548523,9.895864963531494,0.0524753774482424,102.07414523723315,101.48229530623432,69.17,6917,10000,71.2,2.030000000000001,0.5783579856545985,False
deit_base_patch16_224,1,96,101,100,9.782258456548057,9.790031909942629,9.83759708404541,9.852220821380616,9.912023258209228,0.0549728579827945,102.14471303044613,101.49995804294888,68.18,6818,10000,71.2,3.019999999999996,0.5784586473985665,False
deit_base_patch16_224,1,112,85,84,9.843916454315185,9.850063800811768,9.907584381103517,9.920422458648682,9.948353147506714,0.0533689224662037,101.522185056059,100.802158795989,66.32,6632,10000,71.2,4.88000000000001,0.5744818180842001,False
deit_base_patch16_224,1,128,69,68,9.82985331217448,9.835040092468262,9.885276699066162,9.905576133728028,9.926804456710816,0.0501411404887567,101.67726726053782,100.9532395188046,63.53,6353,10000,71.2,7.670000000000002,0.575342842583648,False
deit_base_patch16_224,1,144,53,52,9.831850468317668,9.83947229385376,9.88729944229126,9.905964422225953,9.930873079299928,0.0501231926908119,101.631466620893,100.94928240972742,58.6,5860,10000,71.2,12.600000000000001,0.5753202906140853,False
deit_base_patch16_224,2,0,197,196,6.905014929771423,6.901376008987427,6.977161550521851,7.008545565605163,7.049963283538818,0.0513075712332776,289.79728062859755,285.365912410574,71.19,7119,10000,71.19,0.0,1.0,True
deit_base_patch16_224,2,48,149,148,10.433992751439412,10.44055986404419,10.497625350952148,10.508022356033326,10.527832193374634,0.0544260980139513,191.56060843898965,190.3307713131836,70.3,7030,10000,71.19,0.8900000000000006,0.6669709416426118,False
deit_base_patch16_224,2,64,133,132,10.36936800956726,10.372688293457031,10.433487796783448,10.452233409881591,10.512306756973269,0.0553449496028238,192.81404621611705,191.3466645424499,69.99,6999,10000,71.19,1.2000000000000028,0.6705309086361629,False
deit_base_patch16_224,2,80,117,116,10.358134717941285,10.362783908843994,10.416777420043946,10.436116981506348,10.465798292160034,0.0533633676951483,192.9983311041663,191.64215996660093,69.19,6919,10000,71.19,2.0,0.6715664052084581,False
deit_base_patch16_224,2,96,101,100,10.340275430679322,10.342607975006104,10.405446338653563,10.416614770889282,10.449031343460083,0.0562415969404264,193.37482430284416,192.00095654773423,68.21,6821,10000,71.19,2.980000000000004,0.6728237263022864,False
deit_base_patch16_224,2,112,85,84,10.36073631922404,10.363407611846924,10.421629238128665,10.43750591278076,10.455831365585327,0.0488955918912525,192.98671584756556,191.61665791738557,66.38,6638,10000,71.19,4.810000000000002,0.671477039071487,False
deit_base_patch16_224,2,128,69,68,10.44452810605367,10.452591896057127,10.49911699295044,10.516000413894654,10.538408975601197,0.0505058582780981,191.3401020424828,190.1863751695394,63.49,6349,10000,71.19,7.699999999999996,0.6664649381664975,False
deit_base_patch16_224,2,144,53,52,10.406013879776,10.410975933074951,10.47747869491577,10.489853191375731,10.545431184768676,0.0585555383225988,192.10494893626048,190.6604376164489,58.61,5861,10000,71.19,12.579999999999998,0.6681261822965514,False
deit_base_patch16_224,4,0,197,196,11.585900061925251,11.57870388031006,11.607075214385986,11.623329401016235,11.753050842285155,0.0361421124002448,345.46181000466925,344.13547633350885,71.19,7119,10000,71.19,0.0,1.0,True
deit_base_patch16_224,4,48,149,148,12.256355746587117,12.237120151519775,12.343370056152343,12.377937841415406,12.416181077957154,0.0560227262123524,326.87429317291003,323.15560566287377,70.3,7030,10000,71.19,0.8900000000000006,0.9390360131011224,False
deit_base_patch16_224,4,64,133,132,11.166412057876586,11.16966438293457,11.235660839080811,11.256880140304563,11.31294695854187,0.0601925173302101,358.1128190486501,355.3382420479229,69.96,6996,10000,71.19,1.230000000000004,1.0325533590252616,True
deit_base_patch16_224,4,80,117,116,11.095572719573974,11.099568367004396,11.157510471343992,11.175827169418335,11.214674119949342,0.0518429024022386,360.3743738261724,357.9153416890382,69.22,6922,10000,71.19,1.9699999999999989,1.0400419785322423,True
deit_base_patch16_224,4,96,101,100,11.04625352859497,11.047904014587402,11.114780616760251,11.125159645080569,11.15812319755554,0.0522221796810003,362.0596263977756,359.5454022782279,68.26,6826,10000,71.19,2.9299999999999926,1.044778661325184,True
