model,batch_size,r,sequence_tokens,content_tokens,latency_mean_ms,latency_median_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_std_ms,throughput_median_qps,throughput_p95_qps
deit_base_patch16_224,1,0,197,196,5.644692489306132,5.644991874694824,5.689091062545776,5.6991023302078245,5.7209694194793705,0.03722990511988591,177.14817349565473,175.4662299533642
deit_base_patch16_224,1,48,149,148,9.82687434832255,9.836703777313232,9.882806301116943,9.89785795211792,9.924978055953979,0.052621192184527786,101.66007055191989,101.031961141251
deit_base_patch16_224,1,64,133,132,9.818514442443847,9.824975967407227,9.87732458114624,9.890422821044922,9.946845350265503,0.054081874851001306,101.7814194474713,101.10791197644168
deit_base_patch16_224,1,80,117,116,9.788721281687419,9.796800136566162,9.845433807373047,9.85393557548523,9.895864963531494,0.052475377448242426,102.07414523723315,101.48229530623432
deit_base_patch16_224,1,96,101,100,9.782258456548055,9.790031909942627,9.83759708404541,9.852220821380616,9.912023258209228,0.0549728579827945,102.14471303044613,101.49995804294889
deit_base_patch16_224,1,112,85,84,9.843916454315185,9.850063800811768,9.907584381103515,9.920422458648682,9.948353147506714,0.05336892246620375,101.52218505605899,100.80215879598899
deit_base_patch16_224,1,128,69,68,9.82985331217448,9.835040092468262,9.885276699066162,9.905576133728028,9.926804456710816,0.050141140488756786,101.67726726053782,100.9532395188046
deit_base_patch16_224,1,144,53,52,9.831850468317668,9.83947229385376,9.88729944229126,9.905964422225953,9.930873079299927,0.0501231926908119,101.63146662089301,100.94928240972742
deit_base_patch16_224,2,0,197,196,6.905014929771423,6.901376008987427,6.977161550521851,7.008545565605163,7.049963283538818,0.05130757123327765,289.79728062859755,285.365912410574
deit_base_patch16_224,2,48,149,148,10.433992751439412,10.44055986404419,10.497625350952148,10.508022356033326,10.527832193374634,0.05442609801395133,191.56060843898965,190.33077131318362
deit_base_patch16_224,2,64,133,132,10.36936800956726,10.372688293457031,10.433487796783448,10.452233409881591,10.512306756973267,0.05534494960282385,192.81404621611702,191.3466645424499
deit_base_patch16_224,2,80,117,116,10.358134717941285,10.362783908843994,10.416777420043946,10.436116981506348,10.465798292160034,0.05336336769514832,192.9983311041663,191.64215996660093
deit_base_patch16_224,2,96,101,100,10.340275430679322,10.342607975006104,10.405446338653565,10.416614770889282,10.449031343460083,0.056241596940426415,193.37482430284416,192.00095654773426
deit_base_patch16_224,2,112,85,84,10.36073631922404,10.363407611846924,10.421629238128663,10.437505912780761,10.455831365585327,0.04889559189125252,192.98671584756553,191.61665791738554
deit_base_patch16_224,2,128,69,68,10.44452810605367,10.452591896057129,10.499116992950439,10.516000413894654,10.538408975601197,0.050505858278098156,191.3401020424828,190.1863751695394
deit_base_patch16_224,2,144,53,52,10.406013879776001,10.410975933074951,10.47747869491577,10.489853191375733,10.545431184768677,0.05855553832259884,192.10494893626046,190.66043761644886
deit_base_patch16_224,4,0,197,196,11.585900061925253,11.578703880310059,11.607075214385986,11.623329401016235,11.753050842285155,0.03614211240024483,345.46181000466925,344.13547633350885
deit_base_patch16_224,4,48,149,148,12.256355746587117,12.237120151519775,12.343370056152343,12.377937841415406,12.416181077957154,0.05602272621235249,326.87429317291003,323.15560566287377
deit_base_patch16_224,4,64,133,132,11.166412057876586,11.16966438293457,11.235660839080811,11.256880140304565,11.31294695854187,0.06019251733021013,358.1128190486501,355.3382420479229
deit_base_patch16_224,4,80,117,116,11.095572719573974,11.099568367004395,11.157510471343993,11.175827169418335,11.214674119949342,0.05184290240223869,360.3743738261724,357.9153416890382
deit_base_patch16_224,4,96,101,100,11.04625352859497,11.047904014587402,11.114780616760253,11.125159645080567,11.158123197555541,0.052222179681000326,362.0596263977756,359.5454022782279
deit_base_patch16_224,4,112,85,84,11.01274455388387,11.010464191436768,11.076547050476075,11.089737939834595,11.134630126953125,0.0531024171567755,363.29076871354283,360.6938253817439
deit_base_patch16_224,4,128,69,68,10.978159596125284,10.981087684631348,11.040118408203124,11.055192136764527,11.07478533744812,0.05255406277248251,364.26264090379914,361.8209390226538
deit_base_patch16_224,4,144,53,52,10.944684158960978,10.947184085845947,11.002246284484864,11.019248294830323,11.038629035949707,0.051731945801848166,365.3907679484225,363.0011678633831
deit_base_patch16_224,8,0,197,196,21.4877010345459,21.427568435668945,21.665766143798827,21.687922286987305,21.716065845489503,0.11108352333598237,373.350808516517,368.8688982807716
deit_base_patch16_224,8,48,149,148,20.96021727879842,21.00265598297119,21.098125457763672,21.23759765625,21.295886554718017,0.13543908806794047,380.9042059483498,376.6904397327485
deit_base_patch16_224,8,64,133,132,18.461522051493326,18.426640510559082,18.614582824707032,18.630164909362794,18.694365825653076,0.0880980388575964,434.15401713707564,429.4111210996051
deit_base_patch16_224,8,80,117,116,17.494384676615397,17.498528480529785,17.64741802215576,17.708112144470213,17.750920333862304,0.10937648403918046,457.1813000676839,451.7703487945322
deit_base_patch16_224,8,96,101,100,15.969369599024455,15.951567649841309,16.091686248779297,16.121504402160646,16.149234142303467,0.06525500346722285,501.5181062834026,496.2316047209477
deit_base_patch16_224,8,112,85,84,15.096353712081909,15.126415729522705,15.176316738128662,15.188270664215088,15.232610816955566,0.08030195084606064,528.8761159979324,526.7222435565827
deit_base_patch16_224,8,128,69,68,13.911995836893718,13.91582441329956,13.982566165924073,14.003017997741699,14.047365217208862,0.058476907485723685,574.885092136854,571.3054143963951
deit_base_patch16_224,8,144,53,52,13.744938561121623,13.740063667297363,13.818022441864013,13.836611652374268,13.888619184494019,0.054850819276292054,582.2389323450333,578.1762328082146
deit_base_patch16_224,16,0,197,196,42.56977779388428,42.44124794006348,42.92936134338379,42.947314453125,42.97216178894043,0.21505141414726803,376.99174215130466,372.54948775582363
deit_base_patch16_224,16,48,149,148,39.49575133005778,39.455888748168945,39.83824119567871,39.872208213806154,39.90939567565918,0.20440691331742772,405.5161474658842,401.2820136322382
deit_base_patch16_224,16,64,133,132,35.90607171376546,35.98535919189453,36.06917266845703,36.09162559509277,36.204823150634766,0.17103723792675327,444.6252687010526,443.31613597852055
deit_base_patch16_224,16,80,117,116,32.51874193827311,32.57276916503906,32.644677352905276,32.67510356903076,32.76762344360352,0.13036815032591056,491.20785275981655,489.66945020381485
deit_base_patch16_224,16,96,101,100,29.869883327484132,29.81396770477295,30.081024742126466,30.094180202484132,30.156822052001953,0.1565832584624605,536.6612105586518,531.6642584162926
deit_base_patch16_224,16,112,85,84,27.92357104619344,27.900400161743164,28.11489028930664,28.133363056182862,28.16279769897461,0.12334606769841526,573.4684774141372,568.7197782948201
deit_base_patch16_224,16,128,69,68,24.866025352478026,24.885855674743652,25.000063514709474,25.15151596069336,25.19067361831665,0.1361652097975425,642.9354975420115,636.1445578471177
deit_base_patch16_224,16,144,53,52,22.834569606781006,22.79470443725586,23.017369651794432,23.046272850036623,23.080195140838622,0.11092766128027792,701.9174143732025,694.2554270754707
deit_base_patch16_224,24,0,197,196,59.94234456380208,59.86387252807617,60.288561248779295,60.29963760375976,60.316179733276364,0.280437352661122,400.9095801268786,398.01234225831513
deit_base_patch16_224,24,48,149,148,55.619706026713054,55.48761558532715,56.05461311340332,56.09520359039307,56.14020484924316,0.23484217725400977,432.52894806938565,427.84406622797724
deit_base_patch16_224,24,64,133,132,52.61917682647705,52.57342529296875,52.98790168762207,53.026061630249025,53.16756935119629,0.2145250186409385,456.504400583726,452.6076284403717
deit_base_patch16_224,24,80,117,116,46.06025190989176,46.07388877868652,46.27745399475098,46.35766181945801,46.57554912567139,0.20322668287839674,520.90241644856,517.7137728272205
deit_base_patch16_224,24,96,101,100,44.12427104949951,44.17950439453125,44.28045310974121,44.35762672424316,44.49428279876709,0.19854105706641464,543.2383257556604,541.056899847238
deit_base_patch16_224,24,112,85,84,40.30563934326172,40.21214485168457,40.57255172729492,40.58050880432129,40.72564811706543,0.22072194512856483,596.8346152268123,591.416931604473
deit_base_patch16_224,24,128,69,68,35.64044686635335,35.61631965637207,35.714043045043944,35.83516864776611,36.012962646484375,0.1053049112481858,673.8483995975197,669.7331394168312
deit_base_patch16_224,24,144,53,52,32.7896734491984,32.76878356933594,32.882943344116214,33.08676738739014,33.17777294158935,0.11037611263997563,732.4043612793272,725.3655130161419
deit_base_patch16_224,32,0,197,196,77.06461985270182,77.08849334716797,77.12022399902344,77.27561988830567,77.9134635925293,0.2200010035906856,415.1073475504058,414.1021456217739
deit_base_patch16_224,32,48,149,148,72.32152346293131,72.48544311523438,72.60263519287109,72.67004013061523,73.02510200500488,0.31745915255752744,441.4679503183517,440.3465299108688
deit_base_patch16_224,32,64,133,132,65.53316452026367,65.49386978149414,65.72928390502929,65.89432106018066,66.13497611999512,0.16901956000655446,488.5953465074051,485.6260673931932
deit_base_patch16_224,32,80,117,116,60.94268380482992,60.88889694213867,61.511843872070315,61.56682415008545,61.59829204559326,0.30739013579554514,525.5473757458419,519.7604463402484
deit_base_patch16_224,32,96,101,100,56.91938781738281,56.846336364746094,57.2584945678711,57.27784042358398,57.296003913879396,0.24744651898763342,562.9210613446879,558.6802812981771
deit_base_patch16_224,32,112,85,84,51.95930324554443,51.94334411621094,52.14531364440918,52.374617385864255,52.52382053375244,0.17682335552093464,616.055830529655,610.9829836892842
deit_base_patch16_224,32,128,69,68,45.7949617767334,45.76646423339844,46.09689559936523,46.13740997314453,46.17455093383789,0.21141902226824769,699.2019273502834,693.5803292518247
deit_base_patch16_224,32,144,53,52,41.65170330047607,41.6704158782959,41.81279029846191,41.88756790161133,41.962908821105955,0.16124914005443167,767.9309007488752,763.9498209865994
deit_base_patch16_224,48,0,197,196,115.2526719156901,115.39347076416016,115.51404876708985,115.58706512451172,116.20444519042968,0.3534931982093617,415.96807585501824,415.2713796158233
deit_base_patch16_224,48,48,149,148,105.10926394144694,105.13177490234375,105.79261093139648,105.99234237670899,106.26021705627441,0.4756909146675317,456.5698623901946,452.862904278523
deit_base_patch16_224,48,64,133,132,96.75394434611003,96.69713592529297,97.09031982421875,97.12523040771484,97.33128936767578,0.23199434479227002,496.39526073537706,494.2073218102479
deit_base_patch16_224,48,80,117,116,88.38275337219238,88.4384651184082,88.84703750610352,89.09906120300293,89.34222518920899,0.38058237692933783,542.7502607121677,538.7262149781466
