epsilon_pp,pattern,load_factor,deadline_factor,decoupled_slo,decoupled_throughput,cliffserve_slo,cliffserve_throughput,slo_gain_pp,throughput_gain_pct
0.5,onoff,0.3,2.0,0.19812,129.8661486834241,0.19812,129.8661486834241,0.0,0.0
0.5,onoff,0.3,4.0,0.81386,129.95666044410322,0.81386,129.95666044410322,0.0,0.0
0.5,onoff,0.3,8.0,1.0,129.97226463620032,1.0,129.97226463620032,0.0,0.0
0.5,onoff,0.3,12.0,1.0,129.97224163565718,1.0,129.97224163565718,0.0,0.0
0.5,onoff,0.6,2.0,0.00116,176.99364666091245,0.00116,176.99364666091245,0.0,0.0
0.5,onoff,0.6,4.0,0.00412,177.09653021157186,0.00412,177.09653021157186,0.0,0.0
0.5,onoff,0.6,8.0,0.01632,177.7814225119883,0.01632,177.7814225119883,0.0,0.0
0.5,onoff,0.6,12.0,0.03814,179.12776379651245,0.03814,179.12776379651245,0.0,0.0
0.5,onoff,0.8,2.0,0.0016800000000000003,176.78369005750568,0.0016800000000000003,176.78369005750568,0.0,0.0
0.5,onoff,0.8,4.0,0.00392,176.83576670125942,0.00392,176.83576670125942,0.0,0.0
0.5,onoff,0.8,8.0,0.01004,177.14873531664102,0.01004,177.14873531664102,0.0,0.0
0.5,onoff,0.8,12.0,0.01488,177.44722065394973,0.01488,177.44722065394973,0.0,0.0
0.5,onoff,0.95,2.0,0.0009000000000000001,177.03026909553563,0.0009000000000000001,177.03026909553563,0.0,0.0
0.5,onoff,0.95,4.0,0.0018199999999999998,177.09492425932214,0.0018199999999999998,177.09492425932214,0.0,0.0
0.5,onoff,0.95,8.0,0.00372,177.26823213212202,0.00372,177.26823213212202,0.0,0.0
0.5,onoff,0.95,12.0,0.006820000000000001,177.54496502984784,0.006820000000000001,177.54496502984784,0.0,0.0
0.5,onoff,1.1,2.0,0.00132,176.97319232363566,0.00132,176.97319232363566,0.0,0.0
0.5,onoff,1.1,4.0,0.00232,177.02540165643356,0.00232,177.02540165643356,0.0,0.0
0.5,onoff,1.1,8.0,0.00566,177.23712867923567,0.00566,177.23712867923567,0.0,0.0
0.5,onoff,1.1,12.0,0.010839999999999999,177.5672910483007,0.010839999999999999,177.5672910483007,0.0,0.0
0.5,poisson,0.3,2.0,0.67418,130.47005352979653,0.67418,130.47005352979653,0.0,0.0
0.5,poisson,0.3,4.0,0.9989000000000001,130.47305798375115,0.9989000000000001,130.47305798375115,0.0,0.0
0.5,poisson,0.3,8.0,1.0,130.47305540504252,1.0,130.47305540504252,0.0,0.0
0.5,poisson,0.3,12.0,1.0,130.47305540504252,1.0,130.47305540504252,0.0,0.0
0.5,poisson,0.6,2.0,0.00066,177.15694564597044,0.00066,177.15694564597044,0.0,0.0
0.5,poisson,0.6,4.0,0.01042,177.68498700565036,0.01042,177.68498700565036,0.0,0.0
0.5,poisson,0.6,8.0,0.67362,229.6995120613241,0.67362,229.6995120613241,0.0,0.0
0.5,poisson,0.6,12.0,1.0,260.8920420083974,1.0,260.8920420083974,0.0,0.0
0.5,poisson,0.8,2.0,0.00041999999999999996,177.15878110251583,0.00041999999999999996,177.15878110251583,0.0,0.0
0.5,poisson,0.8,4.0,0.00268,177.31872291399506,0.00268,177.31872291399506,0.0,0.0
0.5,poisson,0.8,8.0,0.021939999999999998,178.9574615036789,0.021939999999999998,178.9574615036789,0.0,0.0
0.5,poisson,0.8,12.0,0.17648,194.58263245821678,0.17648,194.58263245821678,0.0,0.0
0.5,poisson,0.95,2.0,0.00031999999999999997,177.1583006570713,0.00031999999999999997,177.1583006570713,0.0,0.0
0.5,poisson,0.95,4.0,0.0014,177.24265922041988,0.0014,177.24265922041988,0.0,0.0
0.5,poisson,0.95,8.0,0.0075,177.76848151027136,0.0075,177.76848151027136,0.0,0.0
0.5,poisson,0.95,12.0,0.016220000000000002,178.5852946885896,0.016220000000000002,178.5852946885896,0.0,0.0
0.5,poisson,1.1,2.0,0.00026,177.15600743696817,0.00026,177.15600743696817,0.0,0.0
0.5,poisson,1.1,4.0,0.00134,177.24726951696323,0.00134,177.24726951696323,0.0,0.0
0.5,poisson,1.1,8.0,0.00526,177.60329123599325,0.00526,177.60329123599325,0.0,0.0
0.5,poisson,1.1,12.0,0.00964,178.00252041803688,0.00964,178.00252041803688,0.0,0.0
1.0,onoff,0.3,2.0,0.19812,129.8661486834241,0.19812,129.8661486834241,0.0,0.0
1.0,onoff,0.3,4.0,0.81386,129.95666044410322,0.81386,129.95666044410322,0.0,0.0
1.0,onoff,0.3,8.0,1.0,129.97226463620032,1.0,129.97226463620032,0.0,0.0
1.0,onoff,0.3,12.0,1.0,129.97223649353396,1.0,129.97223649353396,0.0,0.0
1.0,onoff,0.6,2.0,0.00116,176.99364666091245,0.00116,176.99364666091245,0.0,0.0
1.0,onoff,0.6,4.0,0.00412,177.09653021157186,0.00412,177.09653021157186,0.0,0.0
1.0,onoff,0.6,8.0,0.017099999999999997,177.8493671312389,0.017099999999999997,177.8493671312389,0.0,0.0
1.0,onoff,0.6,12.0,0.04136,179.43976815957708,0.04148,179.45445349707114,0.012000000000000205,0.008183992681609631
1.0,onoff,0.8,2.0,0.0016800000000000003,176.78369005750568,0.0016800000000000003,176.78369005750568,0.0,0.0
