epsilon_pp,policy,mean_overhead_us,mean_p95_overhead_us
0.5,cliffserve,31.128118522540223,37.31526225
0.5,decoupled,30.49537927660045,36.3427815
0.5,dense,28.712727237306904,34.379737
0.5,joint_full,31.094712571265433,37.250671499999996
0.5,static_pomt,30.00976343144732,35.835888999999995
1.0,cliffserve,31.922056176131157,34.70409375
1.0,decoupled,30.831197822879563,33.552139499999996
1.0,dense,29.150724231627038,31.818952000000003
1.0,joint_full,32.2981572550931,35.2015845
1.0,static_pomt,30.13260607166186,32.89368
2.0,cliffserve,31.702792120068573,34.478345250000004
2.0,decoupled,30.022040782549887,32.44055325
2.0,dense,29.207932241508285,31.5721815
2.0,joint_full,32.60939991602472,35.61385925
2.0,static_pomt,29.742793401908973,32.32846975
