model,batch_size,r,sequence_tokens,content_tokens,latency_mean_ms,latency_median_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_std_ms,throughput_median_qps,throughput_p95_qps
deit_small_patch16_224,24,0,197,196,16.519337577819826,16.513983726501465,16.534882926940917,16.5424765586853,16.638535976409912,0.02445204287502404,1453.3137731924162,1450.8105793506036
deit_small_patch16_224,24,16,181,180,18.40174566904704,18.390880584716797,18.446800422668456,18.460416889190675,18.584891815185546,0.04512315857188737,1304.99460803114,1300.0789821844694
deit_small_patch16_224,24,32,165,164,17.585299593607584,17.568991661071777,17.676643753051756,17.719180583953857,17.777549629211425,0.05808809750849513,1366.0431095301633,1354.4644396103695
deit_small_patch16_224,24,48,149,148,17.062228253682456,17.057567596435547,17.087398529052734,17.115306186676026,17.228580284118653,0.03240606204438028,1407.0001402201792,1402.253616630218
deit_small_patch16_224,24,64,133,132,15.660574321746827,15.643552303314209,15.73961935043335,15.807884693145752,15.84725959777832,0.057902031516064094,1534.1783972503108,1518.229697766351
deit_small_patch16_224,24,80,117,116,14.343967151641845,14.340879917144775,14.359458827972412,14.36914849281311,14.406516046524048,0.020084448884789573,1673.5374773836281,1670.2451096530783
deit_small_patch16_224,24,96,101,100,13.512117131551106,13.50278377532959,13.532844638824463,13.624721336364747,13.678597164154052,0.041639250497286576,1777.4112656568984,1761.503916850274
deit_small_patch16_224,24,112,85,84,12.464376951853435,12.462512016296387,12.47965726852417,12.487099027633667,12.549275617599486,0.021992710588863703,1925.7754751704006,1921.9836366227692
deit_small_patch16_224,24,128,69,68,11.69696361541748,11.682255744934082,11.729244899749755,11.847814464569092,11.91742919921875,0.060067277292298465,2054.397757077644,2025.6900605400294
deit_small_patch16_224,24,144,53,52,11.680229536692302,11.67683219909668,11.714256095886231,11.728873491287231,11.82685917854309,0.034547562885841245,2055.3519645385195,2046.2323187157187
deit_small_patch16_224,32,0,197,196,20.385705184936523,20.37480068206787,20.44502372741699,20.459808540344238,20.502266731262207,0.031773326673116935,1570.5675112769873,1564.042006400007
deit_small_patch16_224,32,16,181,180,23.862660853068032,23.874272346496582,23.91582374572754,23.9243763923645,24.052557907104493,0.06206585202688087,1340.3549869739097,1337.547924978009
deit_small_patch16_224,32,32,165,164,22.416226348876954,22.423888206481934,22.463017845153807,22.50265254974365,22.620295772552492,0.061037586824501874,1427.0495689837571,1422.0545746445587
deit_small_patch16_224,32,48,149,148,21.42496737162272,21.39572811126709,21.489023399353027,21.546649837493895,21.59854124069214,0.0573401114483565,1495.6256610471999,1485.1496748378931
deit_small_patch16_224,32,64,133,132,19.902871017456054,19.909391403198242,19.947535133361818,20.02386608123779,20.109538192749024,0.062189455298773254,1607.2816768703199,1598.0929891447763
deit_small_patch16_224,32,80,117,116,17.87918534596761,17.880096435546875,17.92203845977783,18.042269229888916,18.122185955047605,0.07331823335946144,1789.6995195384839,1773.6128195553492
deit_small_patch16_224,32,96,101,100,16.447012646993002,16.439184188842773,16.466086196899415,16.58737802505493,16.632339401245115,0.048107511129487204,1946.5686151091552,1929.1777128166118
deit_small_patch16_224,32,112,85,84,15.649049364725748,15.64844799041748,15.672243309020995,15.711876630783081,15.832397813796996,0.04773000440371892,2044.9312302150088,2036.6758695969418
deit_small_patch16_224,32,128,69,68,14.097240931193033,14.094031810760498,14.118573188781738,14.13104305267334,14.282985324859618,0.03713474058034711,2270.4645788842813,2264.5179043556996
deit_small_patch16_224,32,144,53,52,13.221935348510742,13.221487998962402,13.240400123596192,13.243107223510743,13.310680780410765,0.024387581290472526,2420.3024653890166,2416.351348661573
deit_small_patch16_224,48,0,197,196,29.976702969868978,29.977999687194824,29.995421600341796,30.03218355178833,30.134323234558106,0.04191460603051219,1601.1742111166716,1598.28538331978
deit_small_patch16_224,48,16,181,180,33.91611938476562,33.902320861816406,33.9758113861084,34.034135246276854,34.087455101013184,0.04682480531795492,1415.8322728300752,1410.3487470054329
deit_small_patch16_224,48,32,165,164,31.694804293314615,31.68616008758545,31.728089904785158,31.777365112304686,31.854633502960205,0.037274226591331755,1514.8569554442877,1510.509125925411
deit_small_patch16_224,48,48,149,148,30.427983945210773,30.409391403198242,30.493536376953124,30.5790545463562,30.62750507354736,0.054669813966066926,1578.4597384264555,1569.7018992930139
deit_small_patch16_224,48,64,133,132,28.417002207438152,28.41164779663086,28.431590843200684,28.445530700683594,28.525692691802977,0.03104134165263548,1689.447945560271,1687.4355590365722
