epsilon_pp,pattern,load_factor,deadline_factor,decoupled_slo,decoupled_throughput,cliffserve_slo,cliffserve_throughput,slo_gain_pp,throughput_gain_pct
0.5,onoff,0.3,2.0,0.00198,174.81569991903672,0.00198,174.81569991903672,0.0,0.0
0.5,onoff,0.3,4.0,0.30574,219.8340454291603,0.30574,219.8340454291603,0.0,0.0
0.5,onoff,0.3,8.0,1.0,489.7158018974509,1.0,489.7158018974509,0.0,0.0
0.5,onoff,0.3,12.0,1.0,489.7158018974509,1.0,489.7158018974509,0.0,0.0
0.5,onoff,0.6,2.0,0.0009000000000000001,175.00562123299582,0.0009000000000000001,175.00562123299582,0.0,0.0
0.5,onoff,0.6,4.0,0.00564,175.65608303235976,0.00564,175.65608303235976,0.0,0.0
0.5,onoff,0.6,8.0,0.04864,181.79498888668996,0.04864,181.79498888668996,0.0,0.0
0.5,onoff,0.6,12.0,0.28246000000000004,264.0756116134986,0.28246000000000004,264.0756116134986,0.0,0.0
0.5,onoff,0.8,2.0,0.0009400000000000001,175.03004658296027,0.0009400000000000001,175.03004658296027,0.0,0.0
0.5,onoff,0.8,4.0,0.00496,175.5706502709748,0.00496,175.5706502709748,0.0,0.0
0.5,onoff,0.8,8.0,0.016239999999999997,177.34023368912466,0.016239999999999997,177.34023368912466,0.0,0.0
0.5,onoff,0.8,12.0,0.03902,180.84340714209068,0.03902,180.84340714209068,0.0,0.0
0.5,onoff,0.95,2.0,0.00092,175.0326896525909,0.00092,175.0326896525909,0.0,0.0
0.5,onoff,0.95,4.0,0.00464,175.55166260171046,0.00464,175.55166260171046,0.0,0.0
0.5,onoff,0.95,8.0,0.01432,177.07282348391018,0.01432,177.07282348391018,0.0,0.0
0.5,onoff,0.95,12.0,0.03764,180.86407267064135,0.03764,180.86407267064135,0.0,0.0
0.5,onoff,1.1,2.0,0.00052,174.99378807187216,0.00052,174.99378807187216,0.0,0.0
0.5,onoff,1.1,4.0,0.0033599999999999997,175.40300576300484,0.0033599999999999997,175.40300576300484,0.0,0.0
0.5,onoff,1.1,8.0,0.01146,176.6272392383211,0.01146,176.6272392383211,0.0,0.0
0.5,onoff,1.1,12.0,0.02898,179.21820756344113,0.02898,179.21820756344113,0.0,0.0
0.5,poisson,0.3,2.0,0.00054,174.97251280564888,0.00054,174.97251280564888,0.0,0.0
0.5,poisson,0.3,4.0,1.0,496.3945049572415,1.0,496.3945049572415,0.0,0.0
0.5,poisson,0.3,8.0,1.0,496.3945049572415,1.0,496.3945049572415,0.0,0.0
0.5,poisson,0.3,12.0,1.0,496.3945049572415,1.0,496.3945049572415,0.0,0.0
0.5,poisson,0.6,2.0,0.00074,175.01494059274654,0.00074,175.01494059274654,0.0,0.0
0.5,poisson,0.6,4.0,0.13024,196.96780897854947,0.13024,196.96780897854947,0.0,0.0
0.5,poisson,0.6,8.0,1.0,992.0915296309698,1.0,992.0915296309698,0.0,0.0
0.5,poisson,0.6,12.0,1.0,992.0915296309698,1.0,992.0915296309698,0.0,0.0
0.5,poisson,0.8,2.0,0.00058,174.99489497443605,0.00058,174.99489497443605,0.0,0.0
0.5,poisson,0.8,4.0,0.00778,176.0599886372134,0.00778,176.0599886372134,0.0,0.0
0.5,poisson,0.8,8.0,0.85724,1100.9140143156287,0.85724,1100.9140143156287,0.0,0.0
0.5,poisson,0.8,12.0,1.0,1320.5855453838017,1.0,1320.5855453838017,0.0,0.0
0.5,poisson,0.95,2.0,0.0007,175.0124006442474,0.0007,175.0124006442474,0.0,0.0
0.5,poisson,0.95,4.0,0.00574,175.76504097991736,0.00574,175.76504097991736,0.0,0.0
0.5,poisson,0.95,8.0,0.0851,190.04554378680385,0.0851,190.04554378680385,0.0,0.0
0.5,poisson,0.95,12.0,0.4443,305.4302923641625,0.4443,305.4302923641625,0.0,0.0
0.5,poisson,1.1,2.0,0.00046,174.9806205850669,0.00046,174.9806205850669,0.0,0.0
0.5,poisson,1.1,4.0,0.0047,175.61204335267627,0.0047,175.61204335267627,0.0,0.0
0.5,poisson,1.1,8.0,0.023020000000000002,178.51023255069202,0.023020000000000002,178.51023255069202,0.0,0.0
