epsilon_pp,policy,mean_overhead_us,mean_p95_overhead_us
0.5,cliffserve,32.14045394080056,34.3476355
0.5,decoupled,31.662899477148734,34.0782325
0.5,dense,29.70144439120071,32.09256625
0.5,joint_full,33.10365867770011,35.40475675
0.5,static_pomt,30.929537332214693,33.40607525
1.0,cliffserve,32.14554765285294,34.58156225
1.0,decoupled,31.450925179947273,34.04346625
1.0,dense,29.89562944518094,32.20493925
1.0,joint_full,33.80141602108636,36.4047
1.0,static_pomt,31.17411176554675,33.568971
2.0,cliffserve,30.366620690776085,33.734604250000004
2.0,decoupled,29.75252238575026,33.02820799999999
2.0,dense,29.828450241114787,32.1750515
2.0,joint_full,33.54528101700074,37.4467335
2.0,static_pomt,29.39124705884098,32.455607
