model,batch_size,r,accuracy_pct,correct,num_samples
deit_small_patch16_224,1,0,68.52,6852,10000
deit_small_patch16_224,1,48,68.17,6817,10000
deit_small_patch16_224,1,64,67.92,6792,10000
deit_small_patch16_224,1,80,67.27,6727,10000
deit_small_patch16_224,1,96,66.72,6672,10000
deit_small_patch16_224,1,112,65.65,6565,10000
deit_small_patch16_224,1,128,63.54,6354,10000
deit_small_patch16_224,1,144,60.47,6047,10000
deit_small_patch16_224,2,0,68.52,6852,10000
deit_small_patch16_224,2,48,68.2,6820,10000
deit_small_patch16_224,2,64,67.93,6793,10000
deit_small_patch16_224,2,80,67.27,6727,10000
deit_small_patch16_224,2,96,66.71,6671,10000
deit_small_patch16_224,2,112,65.65,6565,10000
deit_small_patch16_224,2,128,63.51,6351,10000
deit_small_patch16_224,2,144,60.5,6050,10000
deit_small_patch16_224,4,0,68.52,6852,10000
deit_small_patch16_224,4,48,68.19,6819,10000
deit_small_patch16_224,4,64,67.91,6791,10000
deit_small_patch16_224,4,80,67.28,6728,10000
deit_small_patch16_224,4,96,66.7,6670,10000
deit_small_patch16_224,4,112,65.63,6563,10000
deit_small_patch16_224,4,128,63.53,6353,10000
deit_small_patch16_224,4,144,60.51,6051,10000
deit_small_patch16_224,8,0,68.52,6852,10000
deit_small_patch16_224,8,48,68.18,6818,10000
deit_small_patch16_224,8,64,67.93,6793,10000
deit_small_patch16_224,8,80,67.28,6728,10000
deit_small_patch16_224,8,96,66.71,6671,10000
deit_small_patch16_224,8,112,65.63,6563,10000
deit_small_patch16_224,8,128,63.53,6353,10000
deit_small_patch16_224,8,144,60.55,6055,10000
deit_small_patch16_224,16,0,68.52,6852,10000
deit_small_patch16_224,16,48,68.18,6818,10000
deit_small_patch16_224,16,64,67.91,6791,10000
deit_small_patch16_224,16,80,67.29,6729,10000
deit_small_patch16_224,16,96,66.7,6670,10000
deit_small_patch16_224,16,112,65.59,6559,10000
deit_small_patch16_224,16,128,63.52,6352,10000
deit_small_patch16_224,16,144,60.58,6058,10000
deit_small_patch16_224,24,0,68.52,6852,10000
deit_small_patch16_224,24,48,68.18,6818,10000
deit_small_patch16_224,24,64,67.94,6794,10000
deit_small_patch16_224,24,80,67.29,6729,10000
deit_small_patch16_224,24,96,66.71,6671,10000
deit_small_patch16_224,24,112,65.61,6561,10000
deit_small_patch16_224,24,128,63.53,6353,10000
deit_small_patch16_224,24,144,60.55,6055,10000
deit_small_patch16_224,32,0,68.52,6852,10000
deit_small_patch16_224,32,48,68.18,6818,10000
deit_small_patch16_224,32,64,67.93,6793,10000
deit_small_patch16_224,32,80,67.29,6729,10000
deit_small_patch16_224,32,96,66.74,6674,10000
deit_small_patch16_224,32,112,65.59,6559,10000
deit_small_patch16_224,32,128,63.53,6353,10000
deit_small_patch16_224,32,144,60.55,6055,10000
deit_small_patch16_224,48,0,68.52,6852,10000
deit_small_patch16_224,48,48,68.19,6819,10000
deit_small_patch16_224,48,64,67.94,6794,10000
deit_small_patch16_224,48,80,67.28,6728,10000
deit_small_patch16_224,48,96,66.72,6672,10000
deit_small_patch16_224,48,112,65.63,6563,10000
deit_small_patch16_224,48,128,63.49,6349,10000
deit_small_patch16_224,48,144,60.57,6057,10000
deit_small_patch16_224,64,0,68.52,6852,10000
deit_small_patch16_224,64,48,68.2,6820,10000
deit_small_patch16_224,64,64,67.95,6795,10000
deit_small_patch16_224,64,80,67.28,6728,10000
deit_small_patch16_224,64,96,66.73,6673,10000
deit_small_patch16_224,64,112,65.61,6561,10000
deit_small_patch16_224,64,128,63.55,6355,10000
deit_small_patch16_224,64,144,60.59,6059,10000
