model,batch_size,r,accuracy_pct,correct,num_samples
deit_small_patch16_224,1,0,75.1,1502,2000
deit_small_patch16_224,1,16,75.2,1504,2000
deit_small_patch16_224,1,32,75.35,1507,2000
deit_small_patch16_224,1,48,74.85,1497,2000
deit_small_patch16_224,1,64,74.65,1493,2000
deit_small_patch16_224,1,80,74.15,1483,2000
deit_small_patch16_224,1,96,73.75,1475,2000
deit_small_patch16_224,1,112,73.25,1465,2000
deit_small_patch16_224,1,128,71.25,1425,2000
deit_small_patch16_224,1,144,69.2,1384,2000
deit_small_patch16_224,2,0,75.2,1504,2000
deit_small_patch16_224,2,16,75.2,1504,2000
deit_small_patch16_224,2,32,75.35,1507,2000
deit_small_patch16_224,2,48,74.85,1497,2000
deit_small_patch16_224,2,64,74.7,1494,2000
deit_small_patch16_224,2,80,74.2,1484,2000
deit_small_patch16_224,2,96,73.7,1474,2000
deit_small_patch16_224,2,112,73.2,1464,2000
deit_small_patch16_224,2,128,71.3,1426,2000
deit_small_patch16_224,2,144,69.3,1386,2000
deit_small_patch16_224,4,0,75.2,1504,2000
deit_small_patch16_224,4,16,75.2,1504,2000
deit_small_patch16_224,4,32,75.35,1507,2000
deit_small_patch16_224,4,48,74.85,1497,2000
deit_small_patch16_224,4,64,74.7,1494,2000
deit_small_patch16_224,4,80,74.2,1484,2000
deit_small_patch16_224,4,96,73.65,1473,2000
deit_small_patch16_224,4,112,73.15,1463,2000
deit_small_patch16_224,4,128,71.3,1426,2000
deit_small_patch16_224,4,144,69.25,1385,2000
deit_small_patch16_224,8,0,75.2,1504,2000
deit_small_patch16_224,8,16,75.2,1504,2000
deit_small_patch16_224,8,32,75.35,1507,2000
deit_small_patch16_224,8,48,74.85,1497,2000
deit_small_patch16_224,8,64,74.7,1494,2000
deit_small_patch16_224,8,80,74.2,1484,2000
deit_small_patch16_224,8,96,73.7,1474,2000
deit_small_patch16_224,8,112,73.1,1462,2000
deit_small_patch16_224,8,128,71.35,1427,2000
deit_small_patch16_224,8,144,69.25,1385,2000
deit_small_patch16_224,16,0,75.2,1504,2000
deit_small_patch16_224,16,16,75.2,1504,2000
deit_small_patch16_224,16,32,75.35,1507,2000
deit_small_patch16_224,16,48,74.9,1498,2000
deit_small_patch16_224,16,64,74.7,1494,2000
deit_small_patch16_224,16,80,74.25,1485,2000
deit_small_patch16_224,16,96,73.75,1475,2000
deit_small_patch16_224,16,112,73.05,1461,2000
deit_small_patch16_224,16,128,71.4,1428,2000
deit_small_patch16_224,16,144,69.2,1384,2000
