pattern,load_factor,deadline_factor,dec_slo,dec_qps,ours_slo,ours_qps,slo_gain_pp,throughput_gain_pct
onoff,0.3,2,0.004666666666666667,174.94662928705918,0.004666666666666667,174.94662928705918,0.0,0.0
onoff,0.3,4,1.0,394.56547246804274,1.0,394.56547246804274,0.0,0.0
onoff,0.3,8,1.0,394.56547246804274,1.0,394.56547246804274,0.0,0.0
onoff,0.6,2,0.0022,175.05501742641852,0.0022,175.05501742641852,0.0,0.0
onoff,0.6,4,0.022533333333333336,177.88223153895808,0.037733333333333334,179.6472040484132,1.5199999999999998,0.9922140588103368
onoff,0.6,8,0.8484666666666666,644.0630468704918,0.8484666666666666,644.0630468704918,0.0,0.0
onoff,0.8,2,0.0020666666666666667,175.08204096598703,0.0020666666666666667,175.08204096598703,0.0,0.0
onoff,0.8,4,0.011466666666666667,176.45634209823993,0.011466666666666667,176.45634209823993,0.0,0.0
onoff,0.8,8,0.0594,183.7507841949309,0.0602,183.89939497083563,0.07999999999999952,0.08087626757939947
onoff,0.95,2,0.0021333333333333334,175.12665849011566,0.0021333333333333334,175.12665849011566,0.0,0.0
onoff,0.95,4,0.009866666666666668,176.27341421219708,0.010133333333333333,176.31447955539807,0.026666666666666505,0.02329639065794531
onoff,0.95,8,0.03573333333333333,180.3945118287119,0.03573333333333333,180.3945118287119,0.0,0.0
onoff,1.1,2,0.0031333333333333335,175.2173990297117,0.0031333333333333335,175.2173990297117,0.0,0.0
onoff,1.1,4,0.0096,176.02183838644234,0.0096,176.02183838644234,0.0,0.0
onoff,1.1,8,0.025333333333333333,178.49601682358139,0.0256,178.54727506206507,0.026666666666666852,0.028716740796719264
poisson,0.3,2,0.0017333333333333333,175.0401096477652,0.0017333333333333333,175.0401096477652,0.0,0.0
poisson,0.3,4,1.0,377.5877529716209,1.0,377.5877529716209,0.0,0.0
poisson,0.3,8,1.0,377.5877529716209,1.0,377.5877529716209,0.0,0.0
poisson,0.6,2,0.0020666666666666667,175.1585236394076,0.0020666666666666667,175.1585236394076,0.0,0.0
poisson,0.6,4,1.0,754.3715646697195,1.0,754.3715646697195,0.0,0.0
poisson,0.6,8,1.0,754.3715646697195,1.0,754.3715646697195,0.0,0.0
poisson,0.8,2,0.0015999999999999999,175.1110969308974,0.0015999999999999999,175.1110969308974,0.0,0.0
poisson,0.8,4,0.1758666666666667,207.07478124119984,0.1758666666666667,207.07478124119984,0.0,0.0
poisson,0.8,8,1.0,1004.860526799794,1.0,1004.860526799794,0.0,0.0
poisson,0.95,2,0.0012,175.06394172714906,0.0012,175.06394172714906,0.0,0.0
poisson,0.95,4,0.04133333333333333,181.19145373056358,0.042666666666666665,181.4131961775316,0.13333333333333322,0.12238019089894081
poisson,0.95,8,1.0,1192.7364648877865,1.0,1192.7364648877865,0.0,0.0
poisson,1.1,2,0.0012,175.06394172714906,0.0012,175.06394172714906,0.0,0.0
poisson,1.1,4,0.019866666666666668,177.87482680253007,0.0212,178.0832893127364,0.13333333333333322,0.11719618450438674
poisson,1.1,8,0.302,245.5034194025018,0.5857333333333333,518.3400909070295,28.373333333333335,111.1335525055206
