model,batch_size,r,sequence_tokens,content_tokens,latency_mean_ms,latency_median_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_std_ms,throughput_median_qps,throughput_p95_qps,accuracy_pct,correct,num_samples,dense_accuracy_pct,accuracy_drop_pp,speedup_vs_dense_p95,pareto
deit_small_patch16_224,1,0,197,196,5.71660519917806,5.714080095291138,5.732534408569336,5.741983890533447,5.78889226436615,0.01888782522564765,175.00629730830698,174.1558351719961,75.1,1502,2000,75.1,0.0,1.0,True
deit_small_patch16_224,1,16,181,180,9.630116271972657,9.630303859710693,9.6480637550354,9.651550436019898,9.657397470474244,0.013748092861037607,103.83888344204762,103.61029625540449,75.2,1504,2000,75.1,-0.10000000000000853,0.5949286519919306,True
deit_small_patch16_224,1,32,165,164,9.642055244445801,9.646912097930908,9.664931297302246,9.66927194595337,9.680054073333741,0.031672835861808336,103.66011318943005,103.42040285861484,75.35,1507,2000,75.1,-0.25,0.5938382871666457,True
deit_small_patch16_224,1,48,149,148,9.683268038431804,9.682528018951416,9.698789978027344,9.705419063568115,9.712741937637329,0.012586554858571108,103.27881293425851,103.03522119449404,74.85,1497,2000,75.1,0.25,0.5916265802563352,False
deit_small_patch16_224,1,64,133,132,9.666424318949382,9.666415691375732,9.68177309036255,9.68651556968689,9.7003848361969,0.013277966510182286,103.450961755368,103.2362971809402,74.65,1493,2000,75.1,0.44999999999998863,0.5927811553312822,False
deit_small_patch16_224,1,80,117,116,9.642461020151774,9.64299201965332,9.657506942749023,9.661633491516113,9.671572074890136,0.012824218698304482,103.70225319713077,103.5021666758629,74.15,1483,2000,75.1,0.9499999999999886,0.5943077736881126,False
deit_small_patch16_224,1,96,101,100,9.625879052480062,9.624832153320312,9.642700576782227,9.649025917053223,9.698635368347167,0.01994679795657588,103.89791573196696,103.63740429307462,73.75,1475,2000,75.1,1.3499999999999943,0.5950843059075365,False
deit_small_patch16_224,1,112,85,84,9.7033198928833,9.701103687286377,9.716572952270507,9.722873497009278,9.84084511756897,0.025821412856921445,103.08105471654052,102.8502530972553,73.25,1465,2000,75.1,1.8499999999999943,0.5905644964217277,False
deit_small_patch16_224,1,128,69,68,9.700943349202474,9.700431823730469,9.716985702514648,9.722737503051757,9.727426061630249,0.01259938307369636,103.08819423416479,102.85169168519892,71.25,1425,2000,75.1,3.8499999999999943,0.590572756770525,False
deit_small_patch16_224,1,144,53,52,9.739102713267009,9.739183902740479,9.753308486938476,9.755550527572632,9.764158926010133,0.011079840268222865,102.67800772491965,102.50574759196283,69.2,1384,2000,75.1,5.8999999999999915,0.5885863513601383,False
deit_small_patch16_224,2,0,197,196,5.647479031880697,5.6469597816467285,5.663846397399903,5.670132756233215,5.676423306465149,0.011999785160049127,354.1728783867438,352.7254274252021,75.2,1504,2000,75.2,0.0,1.0,True
deit_small_patch16_224,2,16,181,180,10.198946132659913,10.196336269378662,10.217712306976319,10.23145613670349,10.292475204467772,0.024582408090978194,196.1488859489993,195.4755973419427,75.2,1504,2000,75.2,0.0,0.5541862937664018,False
deit_small_patch16_224,2,32,165,164,10.177674662272135,10.175935745239258,10.195814514160157,10.202585554122924,10.207693777084351,0.013576081048079749,196.54212153763712,196.0287408902725,75.35,1507,2000,75.2,-0.14999999999999147,0.5557544924425438,True
deit_small_patch16_224,2,48,149,148,10.184497102101643,10.184544086456299,10.203932571411134,10.207915353775025,10.21417308807373,0.01395760254865476,196.3759971012996,195.92638954048272,74.85,1497,2000,75.2,0.3500000000000085,0.5554643195719999,False
deit_small_patch16_224,2,64,133,132,10.24167870203654,10.237663745880127,10.258617877960205,10.264695644378662,10.280916137695312,0.02655303524192621,195.35707067980684,194.84260121197806,74.7,1494,2000,75.2,0.5,0.5523917077208612,False
deit_small_patch16_224,2,80,117,116,10.24998036066691,10.250784397125244,10.266403102874756,10.269379472732544,10.275101594924926,0.012672765639357658,195.10702035259712,194.75373417745823,74.2,1484,2000,75.2,1.0,0.5521397637791711,False
deit_small_patch16_224,2,96,101,100,10.281870924631754,10.281599998474121,10.298924827575684,10.304409503936768,10.31035792350769,0.013625163003454031,194.52225337465154,194.09166524640798,73.7,1474,2000,75.2,1.5,0.550262754412755,False
deit_small_patch16_224,2,112,85,84,10.263802007039388,10.261872291564941,10.278950405120849,10.28318386077881,10.299049549102783,0.018018011991495032,194.89620833071183,194.49229218085065,73.2,1464,2000,75.2,2.0,0.5513985583647613,False
deit_small_patch16_224,2,128,69,68,10.295365346272787,10.2915358543396,10.308787441253662,10.318249273300172,10.459735326766967,0.028300482048589252,194.33445389559287,193.83133194652152,71.3,1426,2000,75.2,3.9000000000000057,0.5495246922271426,False
deit_small_patch16_224,2,144,53,52,10.221821880340576,10.221871852874756,10.241363143920898,10.249393272399903,10.27638584136963,0.018251854590325658,195.65888017247335,195.1335017445085,69.3,1386,2000,75.2,5.900000000000006,0.5532164300400144,False
deit_small_patch16_224,4,0,197,196,5.6435703245798745,5.644144058227539,5.656345701217651,5.658966279029846,5.666647400856018,0.010053610820808221,708.6991328949427,706.8428760253624,75.2,1504,2000,75.2,0.0,1.0,True
deit_small_patch16_224,4,16,181,180,10.168285026550294,10.168240070343018,10.183647727966308,10.18694224357605,10.195379486083985,0.01945603077833245,393.3817427920998,392.6595345646948,75.2,1504,2000,75.2,0.0,0.5555117663102905,False
